"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"1/30/2026","1/30/2026","1/30/2026","","Interest Payment","INT","","","$0.41"
"1/28/2026","1/28/2026","1/28/2026","","Aggregated Margin Rate","MINT","","","($4.82)"
"1/21/2026","1/21/2026","1/22/2026","XOM","Exxon Mobil
CUSIP: 30231G102","Buy","7.542046","$132.59","($1,000.00)"
"1/21/2026","1/21/2026","1/22/2026","F","Ford Motor
CUSIP: 345370860","Buy","10.401188","$13.46","($140.00)"
"1/21/2026","1/21/2026","1/22/2026","T","AT&T
CUSIP: 00206R102","Buy","24.778817","$23.51","($582.55)"
"1/21/2026","1/21/2026","1/22/2026","T","AT&T
CUSIP: 00206R102","Buy","1","$23.52","($23.52)"
"1/21/2026","1/21/2026","1/22/2026","T","AT&T
CUSIP: 00206R102","Buy","1","$23.50","($23.51)"
"1/21/2026","1/21/2026","1/22/2026","T","AT&T
CUSIP: 00206R102","Buy","3","$23.48","($70.43)"
"1/21/2026","1/21/2026","1/22/2026","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.600544","$624.79","($375.21)"
"1/21/2026","1/21/2026","1/22/2026","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","1","$624.79","($624.79)"
"1/21/2026","1/21/2026","1/22/2026","JNJ","Johnson & Johnson
CUSIP: 478160104","Buy","0.35849","$212.00","($76.00)"
"1/21/2026","1/21/2026","1/22/2026","JNJ","Johnson & Johnson
CUSIP: 478160104","Buy","2","$212.00","($424.00)"
"1/21/2026","1/21/2026","1/22/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","2.794466","$178.92","($500.00)"
"1/20/2026","1/20/2026","1/21/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","1","$106.50","($106.50)"
"1/12/2026","1/12/2026","1/12/2026","DIA","Cash Div: R/D 2025-12-19 P/D 2026-01-12 - 1.229457 shares at 1.04445","CDIV","","","$1.28"
"1/9/2026","1/9/2026","1/12/2026","JNJ","Johnson & Johnson
CUSIP: 478160104","Buy","1.941323","$206.04","($400.00)"
"1/9/2026","1/9/2026","1/12/2026","","ACH Deposit","ACH","","","$50.00"
"1/9/2026","1/9/2026","1/12/2026","","ACH Deposit","ACH","","","$1,000.00"
"12/31/2025","12/31/2025","12/31/2025","","Interest Payment","INT","","","$1.90"
"12/31/2025","12/31/2025","12/31/2025","","Gold Deposit Boost Payment","GDBP","","","$0.17"
"12/29/2025","12/29/2025","12/30/2025","NVDA","NVIDIA
CUSIP: 67066G104
Dividend Reinvestment","Buy","0.000053","$187.15","($0.01)"
"12/29/2025","12/29/2025","12/30/2025","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","1.71161","$116.85","($200.00)"
"12/29/2025","12/29/2025","12/30/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.999946","$187.89","($187.88)"
"12/29/2025","12/29/2025","12/30/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.064509","$187.88","($12.12)"
"12/26/2025","12/26/2025","12/26/2025","BAC","Cash Div: R/D 2025-12-05 P/D 2025-12-26 - 52.994153 shares at 0.28","CDIV","","","$14.84"
"12/26/2025","12/26/2025","12/26/2025","NVDA","Cash Div: R/D 2025-12-04 P/D 2025-12-26 - 1.093284 shares at 0.01","CDIV","","","$0.01"
"12/26/2025","12/26/2025","12/29/2025","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","0.841715","$118.80","($100.00)"
"12/26/2025","12/26/2025","12/29/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Dividend Reinvestment","Buy","0.001874","$634.89","($1.19)"
"12/26/2025","12/26/2025","12/29/2025","XOM","Exxon Mobil
CUSIP: 30231G102","Buy","1.675041","$119.40","($200.00)"
"12/24/2025","12/24/2025","12/24/2025","VOO","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.672947 shares at 1.771","CDIV","","","$1.19"
"12/23/2025","12/23/2025","12/24/2025","XOM","Exxon Mobil
CUSIP: 30231G102","Buy","0.008438","$118.50","($1.00)"
"12/18/2025","12/18/2025","12/19/2025","","ACH Deposit","ACH","","","$200.00"
"12/15/2025","12/15/2025","12/15/2025","DIA","Cash Div: R/D 2025-11-21 P/D 2025-12-15 - 1.229457 shares at 0.57588","CDIV","","","$0.71"
"12/9/2025","12/9/2025","12/9/2025","JNJ","Cash Div: R/D 2025-11-25 P/D 2025-12-09 - 0.761703 shares at 1.3","CDIV","","","$0.99"
"12/4/2025","12/4/2025","12/5/2025","T","AT&T
CUSIP: 00206R102","Buy","8","$25.36","($202.88)"
"12/1/2025","12/1/2025","12/1/2025","","Gold Deposit Boost Payment","GDBP","","","$0.17"
"11/28/2025","11/28/2025","11/28/2025","","Interest Payment","INT","","","$2.67"
"11/17/2025","11/17/2025","11/17/2025","DIA","Cash Div: R/D 2025-10-17 P/D 2025-11-17 - 1.229457 shares at 0.15477","CDIV","","","$0.19"
"11/17/2025","11/17/2025","11/18/2025","GFL","GFL Environmental
CUSIP: 36168Q104","Sell","0.021105","$44.32","$0.94"
"11/14/2025","11/14/2025","11/17/2025","AAPL","Apple
CUSIP: 037833100
Dividend Reinvestment","Buy","0.003283","$271.02","($0.89)"
"11/13/2025","11/13/2025","11/13/2025","AAPL","Cash Div: R/D 2025-11-10 P/D 2025-11-13 - 3.439178 shares at 0.26","CDIV","","","$0.89"
"11/7/2025","11/7/2025","11/7/2025","DIA","Stock Lending","SLIP","","","$0.01"
"11/4/2025","11/4/2025","11/5/2025","T","AT&T
CUSIP: 00206R102
Dividend Reinvestment","Buy","0.061783","$24.44","($1.51)"
"11/3/2025","11/3/2025","11/3/2025","T","Cash Div: R/D 2025-10-10 P/D 2025-11-03 - 5.435517 shares at 0.2775","CDIV","","","$1.51"
"10/31/2025","10/31/2025","10/31/2025","","Interest Payment","INT","","","$2.91"
"10/31/2025","10/31/2025","10/31/2025","","Gold Deposit Boost Payment","GDBP","","","$0.17"
"10/14/2025","10/14/2025","10/14/2025","DIA","Cash Div: R/D 2025-09-19 P/D 2025-10-14 - 1.229457 shares at 1.31757","CDIV","","","$1.62"
"10/6/2025","10/6/2025","10/6/2025","DIA","Stock Lending","SLIP","","","$0.01"
"10/3/2025","10/3/2025","10/6/2025","NVDA","NVIDIA
CUSIP: 67066G104
Dividend Reinvestment","Buy","0.000052","$189.66","($0.01)"
"10/2/2025","10/2/2025","10/2/2025","NVDA","Cash Div: R/D 2025-09-11 P/D 2025-10-02 - 1.093232 shares at 0.01","CDIV","","","$0.01"
"10/2/2025","10/2/2025","10/3/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Dividend Reinvestment","Buy","0.001902","$615.03","($1.17)"
"10/1/2025","10/1/2025","10/1/2025","VOO","Cash Div: R/D 2025-09-29 P/D 2025-10-01 - 0.671045 shares at 1.74","CDIV","","","$1.17"
"9/30/2025","9/30/2025","9/30/2025","","Interest Payment","INT","","","$3.45"
"9/30/2025","9/30/2025","9/30/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"9/26/2025","9/26/2025","9/26/2025","BAC","Cash Div: R/D 2025-09-05 P/D 2025-09-26 - 52.994153 shares at 0.28","CDIV","","","$14.84"
"9/15/2025","9/15/2025","9/15/2025","DIA","Cash Div: R/D 2025-08-15 P/D 2025-09-15 - 1.007845 shares at 0.26563","CDIV","","","$0.27"
"9/9/2025","9/9/2025","9/9/2025","JNJ","Cash Div: R/D 2025-08-26 P/D 2025-09-09 - 0.2 shares at 1.3","CDIV","","","$0.26"
"9/9/2025","9/9/2025","9/10/2025","GFL","GFL Environmental
CUSIP: 36168Q104","Buy","0.021105","$47.38","($1.00)"
"9/8/2025","9/8/2025","9/9/2025","HOOD","Robinhood Markets
CUSIP: 770700102","Sell","2","$110.62","$221.24"
"9/2/2025","9/2/2025","9/3/2025","JNJ","Johnson & Johnson
CUSIP: 478160104","Buy","0.561703","$178.03","($100.00)"
"9/2/2025","9/2/2025","9/3/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109","Buy","0.221612","$451.24","($100.00)"
"9/2/2025","9/2/2025","9/3/2025","BAC","Bank of America
CUSIP: 060505104","Buy","0.994153","$50.15","($49.85)"
"9/2/2025","9/2/2025","9/3/2025","BAC","Bank of America
CUSIP: 060505104","Buy","1","$50.15","($50.15)"
"9/2/2025","9/2/2025","9/3/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.593232","$168.57","($100.00)"
"9/2/2025","9/2/2025","9/3/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Buy","0.200172","$499.57","($100.00)"
"9/2/2025","9/2/2025","9/3/2025","AAPL","Apple
CUSIP: 037833100","Buy","0.439178","$227.70","($100.00)"
"9/2/2025","9/2/2025","9/3/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.171045","$584.64","($100.00)"
"9/2/2025","9/2/2025","9/3/2025","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","0.005465","$99.46","($0.54)"
"9/2/2025","9/2/2025","9/3/2025","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","1","$99.46","($99.46)"
"9/2/2025","9/2/2025","9/3/2025","T","AT&T
CUSIP: 00206R102","Buy","0.435517","$29.11","($12.68)"
"9/2/2025","9/2/2025","9/3/2025","T","AT&T
CUSIP: 00206R102","Buy","3","$29.11","($87.32)"
"9/2/2025","9/2/2025","9/3/2025","","ACH Deposit","ACH","","","$50.00"
"9/2/2025","9/2/2025","9/2/2025","","Gold Plan Credit","GMPC","","","$1.67"
"9/2/2025","9/2/2025","9/2/2025","","Gold Subscription Fee","GOLD","","","($50.00)"
"9/2/2025","9/2/2025","9/2/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"8/29/2025","8/29/2025","8/29/2025","","Interest Payment","INT","","","$10.09"
"8/25/2025","8/25/2025","8/25/2025","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($32.50)"
"8/19/2025","8/19/2025","8/20/2025","T","AT&T
CUSIP: 00206R102","Buy","2","$28.87","($57.74)"
"8/19/2025","8/19/2025","8/20/2025","JNJ","Johnson & Johnson
CUSIP: 478160104","Buy","0.2","$176.04","($35.21)"
"8/19/2025","8/19/2025","8/20/2025","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$591.26","($295.63)"
"8/19/2025","8/19/2025","8/20/2025","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","1","$116.30","($116.30)"
"8/19/2025","8/19/2025","8/20/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.5","$182.44","($91.22)"
"8/19/2025","8/19/2025","8/20/2025","","ACH Deposit","ACH","","","$50.00"
"8/19/2025","8/19/2025","8/20/2025","AAPL","Apple
CUSIP: 037833100","Buy","3","$230.42","($691.26)"
"8/11/2025","8/11/2025","8/11/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"8/1/2025","8/1/2025","8/4/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109","Buy","1","$435.86","($435.86)"
"8/1/2025","8/1/2025","8/4/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Buy","2","$472.50","($945.00)"
"8/1/2025","8/1/2025","8/4/2025","BAC","Bank of America
CUSIP: 060505104","Buy","50","$46.36","($2,318.00)"
"7/31/2025","7/31/2025","7/31/2025","","Interest Payment","INT","","","$22.80"
"7/31/2025","7/31/2025","7/31/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"7/14/2025","7/14/2025","7/14/2025","DIA","Cash Div: R/D 2025-06-20 P/D 2025-07-14 - 0.007845 shares at 1.1993","CDIV","","","$0.01"
"7/14/2025","7/14/2025","7/14/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"6/30/2025","6/30/2025","6/30/2025","","Interest Payment","INT","","","$22.98"
"6/30/2025","6/30/2025","6/30/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"6/27/2025","6/27/2025","6/27/2025","BAC","Cash Div: R/D 2025-06-06 P/D 2025-06-27 - 1 shares at 0.26","CDIV","","","$0.26"
"6/20/2025","6/20/2025","6/20/2025","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($103.68)"
"6/17/2025","6/17/2025","6/17/2025","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$700.00"
"6/16/2025","6/16/2025","6/16/2025","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($567.00)"
"6/12/2025","6/12/2025","6/12/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"6/5/2025","6/5/2025","6/6/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Buy","4","$489.50","($1,958.00)"
"6/2/2025","6/2/2025","6/2/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"5/30/2025","5/30/2025","5/30/2025","","Interest Payment","INT","","","$27.23"
"5/13/2025","5/13/2025","5/13/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"5/2/2025","5/2/2025","5/5/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Sell","8","$540.00","$4,319.87"
"4/30/2025","4/30/2025","4/30/2025","","Interest Payment","INT","","","$14.32"
"4/30/2025","4/30/2025","4/30/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"4/17/2025","4/17/2025","4/21/2025","BAC","Bank of America
CUSIP: 060505104","Sell","58","$37.31","$2,164.10"
"4/17/2025","4/17/2025","4/21/2025","BAC","Bank of America
CUSIP: 060505104","Sell","0.08518","$37.56","$3.20"
"4/14/2025","4/14/2025","4/14/2025","DIA","Cash Div: R/D 2025-03-21 P/D 2025-04-14 - 0.220069 shares at 0.80072","CDIV","","","$0.18"
"4/14/2025","4/14/2025","4/14/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/9/2025","4/9/2025","4/10/2025","BAC","Bank of America
CUSIP: 060505104","Buy","59","$34.00","($2,006.00)"
"4/8/2025","4/8/2025","4/9/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.007845","$382.39","($3.00)"
"4/8/2025","4/8/2025","4/9/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Buy","4","$507.00","($2,028.00)"
"4/8/2025","4/8/2025","4/9/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Buy","4","$514.18","($2,056.72)"
"4/7/2025","4/7/2025","4/8/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.08518","$35.22","($3.00)"
"4/7/2025","4/7/2025","4/7/2025","DIA","Stock Lending","SLIP","","","$0.01"
"4/7/2025","4/7/2025","4/7/2025","BAC","Stock Lending","SLIP","","","$0.01"
"4/3/2025","4/3/2025","4/4/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109","Sell","0.234279","$404.24","$94.70"
"4/3/2025","4/3/2025","4/4/2025","MSFT","Microsoft
CUSIP: 594918104","Sell","5","$370.81","$1,853.99"
"4/3/2025","4/3/2025","4/4/2025","MSFT","Microsoft
CUSIP: 594918104","Sell","0.207609","$371.20","$77.07"
"4/3/2025","4/3/2025","4/4/2025","BAC","Bank of America
CUSIP: 060505104","Sell","80.895436","$37.37","$3,022.96"
"4/3/2025","4/3/2025","4/4/2025","F","Ford Motor
CUSIP: 345370860","Sell","3","$9.57","$28.71"
"4/3/2025","4/3/2025","4/4/2025","F","Ford Motor
CUSIP: 345370860","Sell","0.704291","$9.58","$6.74"
"4/3/2025","4/3/2025","4/4/2025","BAC","Bank of America
CUSIP: 060505104","Buy","50","$38.50","($1,925.00)"
"4/3/2025","4/3/2025","4/4/2025","BAC","Bank of America
CUSIP: 060505104","Buy","30","$38.50","($1,155.00)"
"4/1/2025","4/1/2025","4/2/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.007159","$419.02","($3.00)"
"4/1/2025","4/1/2025","4/1/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"3/31/2025","3/31/2025","3/31/2025","","Interest Payment","INT","","","$12.43"
"3/31/2025","3/31/2025","4/1/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.07249","$41.38","($3.00)"
"3/31/2025","3/31/2025","4/1/2025","BAC","Bank of America
CUSIP: 060505104
Dividend Reinvestment","Buy","0.1799","$41.08","($7.39)"
"3/28/2025","3/28/2025","3/28/2025","BAC","Cash Div: R/D 2025-03-07 P/D 2025-03-28 - 28.424858 shares at 0.26","CDIV","","","$7.39"
"3/28/2025","3/28/2025","3/31/2025","CRWV","CoreWeave
CUSIP: 21873S108","Sell","12","$39.00","$468.00"
"3/28/2025","3/28/2025","3/31/2025","CRWV","CoreWeave
CUSIP: 21873S108","Buy","12","$39.00","($468.00)"
"3/26/2025","3/26/2025","3/27/2025","MSFT","Microsoft
CUSIP: 594918104","Buy","3","$392.00","($1,176.00)"
"3/25/2025","3/25/2025","3/26/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.007051","$425.42","($3.00)"
"3/24/2025","3/24/2025","3/25/2025","JNJ","Johnson & Johnson
CUSIP: 478160104","Sell","7","$162.80","$1,139.56"
"3/24/2025","3/24/2025","3/25/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.070035","$42.84","($3.00)"
"3/24/2025","3/24/2025","3/25/2025","BAC","Bank of America
CUSIP: 060505104","Sell","80","$42.79","$3,423.36"
"3/18/2025","3/18/2025","3/19/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.007208","$416.16","($3.00)"
"3/18/2025","3/18/2025","3/19/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Dividend Reinvestment","Buy","0.003447","$417.63","($1.44)"
"3/17/2025","3/17/2025","3/17/2025","DIA","Cash Div: R/D 2025-02-21 P/D 2025-03-17 - 2.188255 shares at 0.65879","CDIV","","","$1.44"
"3/17/2025","3/17/2025","3/18/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.072367","$41.46","($3.00)"
"3/14/2025","3/14/2025","3/17/2025","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.004769","$383.68","($1.83)"
"3/14/2025","3/14/2025","3/14/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"3/13/2025","3/13/2025","3/13/2025","MSFT","Cash Div: R/D 2025-02-20 P/D 2025-03-13 - 2.20284 shares at 0.83","CDIV","","","$1.83"
"3/13/2025","3/13/2025","3/14/2025","BAC","Bank of America
CUSIP: 060505104","Buy","27","$39.89","($1,076.94)"
"3/11/2025","3/11/2025","3/12/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.007272","$412.49","($3.00)"
"3/10/2025","3/10/2025","3/11/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.075786","$39.59","($3.00)"
"3/10/2025","3/10/2025","3/11/2025","BAC","Bank of America
CUSIP: 060505104","Buy","25","$40.40","($1,010.00)"
"3/7/2025","3/7/2025","3/7/2025","DIA","Stock Lending","SLIP","","","$0.01"
"3/7/2025","3/7/2025","3/10/2025","F","Ford Motor
CUSIP: 345370860","Sell","110","$9.70","$1,066.95"
"3/7/2025","3/7/2025","3/10/2025","BRK.B","Berkshire Hathaway
CUSIP: 084670702","Sell","2","$496.62","$993.21"
"3/7/2025","3/7/2025","3/10/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109","Sell","2","$426.96","$853.89"
"3/4/2025","3/4/2025","3/4/2025","JNJ","Cash Div: R/D 2025-02-18 P/D 2025-03-04 - 7 shares at 1.24","CDIV","","","$8.68"
"3/4/2025","3/4/2025","3/5/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.007014","$427.66","($3.00)"
"3/4/2025","3/4/2025","3/5/2025","F","Ford Motor
CUSIP: 345370860
Dividend Reinvestment","Buy","1.799623","$9.18","($16.52)"
"3/4/2025","3/4/2025","3/5/2025","F","Ford Motor
CUSIP: 345370860
Dividend Reinvestment","Buy","1.800074","$9.18","($16.52)"
"3/3/2025","3/3/2025","3/3/2025","F","Cash Div: R/D 2025-02-18 P/D 2025-03-03 - 110.104594 shares at 0.15","CDIV","","","$16.52"
"3/3/2025","3/3/2025","3/3/2025","F","Cash Div: R/D 2025-02-18 P/D 2025-03-03 - 110.104594 shares at 0.15","CDIV","","","$16.52"
"3/3/2025","3/3/2025","3/4/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.065165","$46.04","($3.00)"
"2/28/2025","2/28/2025","2/28/2025","","Interest Payment","INT","","","$4.79"
"2/28/2025","2/28/2025","2/28/2025","","Gold Deposit Boost Payment","GDBP","","","$0.18"
"2/25/2025","2/25/2025","2/25/2025","","Interest Payment","INT","","","$4.68"
"2/25/2025","2/25/2025","2/26/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.006873","$436.48","($3.00)"
"2/24/2025","2/24/2025","2/25/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.066836","$44.89","($3.00)"
"2/19/2025","2/19/2025","2/20/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Dividend Reinvestment","Buy","0.000787","$444.72","($0.35)"
"2/18/2025","2/18/2025","2/18/2025","DIA","Cash Div: R/D 2025-01-17 P/D 2025-02-18 - 2.164977 shares at 0.16241","CDIV","","","$0.35"
"2/18/2025","2/18/2025","2/19/2025","DIA","SPDR Dow Jones Industrial Average ETF
CUSIP: 78467X109
Recurring","Buy","0.004494","$444.95","($2.00)"
"2/18/2025","2/18/2025","2/19/2025","BAC","Bank of America
CUSIP: 060505104
Recurring","Buy","0.043031","$46.48","($2.00)"
"2/14/2025","2/14/2025","2/18/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.004901","$408.02","($2.00)"
"2/14/2025","2/14/2025","2/18/2025","AMC","AMC Entertainment
CUSIP: 00165C302","Sell","3","$3.50","$10.50"
"2/12/2025","2/12/2025","2/13/2025","AMC","AMC Entertainment
CUSIP: 00165C302","Buy","3","$3.46","($10.40)"
"2/12/2025","2/12/2025","2/13/2025","AMC","AMC Entertainment
CUSIP: 00165C302","Sell","3","$3.50","$10.50"
"2/12/2025","2/12/2025","2/12/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
